Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,Bedroom,Kitchen,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,90,RL,87,10040,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,Duplex,1Story,5,4,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,657,TA,TA,PConc,TA,TA,No,Unf,0,Unf,0,1990,1990,GasA,Ex,Y,SBrkr,2060,0,0,2060,0,0,2,0,4,2,TA,8,Typ,0,,Detchd,1958,Unf,2,495,TA,Fa,Y,0,0,0,0,0,0,,,,0,12,2009,WD ,Normal,162000
12,20,RL,,10100,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1967,1967,Gable,CompShg,HdBoard,HdBoard,BrkFace,450,TA,TA,CBlock,TA,TA,No,BLQ,220,LwQ,1060,0,1280,GasA,TA,Y,SBrkr,1630,0,0,1630,1,0,1,1,3,1,TA,7,Typ,1,TA,Attchd,1967,Unf,2,512,TA,TA,Y,284,0,0,0,0,0,,MnPrv,,0,7,2006,WD ,Normal,194000
13,90,RL,67,11410,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1968,1968,Hip,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1890,1890,GasA,TA,N,SBrkr,1960,0,0,1960,0,0,2,0,4,2,TA,8,Typ,0,,,,,0,0,,,Y,0,0,0,0,0,0,,,,0,4,2010,WD ,Normal,164000
14,20,RL,61,8260,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,7,1967,2004,Hip,CompShg,HdBoard,HdBoard,BrkFace,89,TA,TA,PConc,TA,TA,No,ALQ,500,Unf,0,460,960,GasA,Ex,Y,SBrkr,1030,0,0,1030,0,0,1,0,3,1,Gd,5,Typ,0,,Attchd,1967,Fin,1,288,TA,TA,Y,64,0,0,0,0,0,,MnPrv,,0,6,2009,WD ,Normal,157000
15,20,RL,74,8260,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1964,1964,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,TA,TA,No,Rec,350,LwQ,650,0,1000,GasA,TA,Y,SBrkr,1040,0,0,1040,0,0,1,0,2,1,TA,5,Typ,0,,Attchd,1964,Unf,1,288,TA,TA,Y,0,0,0,0,0,0,,,,0,11,2006,WD ,Abnorml,141000
16,160,RL,30,2590,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,106,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,830,830,GasA,Ex,Y,SBrkr,880,990,0,1870,0,0,2,1,2,1,Gd,6,Typ,0,,BuiltIn,2003,RFn,2,474,TA,TA,Y,0,27,0,0,0,0,,,,0,10,2008,WD ,Normal,183000
17,20,RL,54,9320,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1977,2008,Gable,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,Gd,TA,Mn,LwQ,580,Rec,170,400,1150,GasA,TA,Y,SBrkr,1180,0,0,1180,0,0,2,0,3,1,Gd,5,Typ,0,,Detchd,1977,Unf,2,484,TA,TA,Y,0,0,0,0,288,0,,,,0,9,2009,WD ,Normal,178000
18,20,RL,61,8910,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,8,1963,2003,Hip,CompShg,HdBoard,HdBoard,,0,TA,TA,CBlock,TA,TA,No,GLQ,720,Unf,0,440,1160,GasA,TA,Y,SBrkr,1210,0,0,1210,0,1,1,0,3,1,TA,6,Typ,0,,Attchd,1963,RFn,1,264,TA,TA,Y,192,0,0,0,0,0,,MnPrv,,0,2,2006,WD ,Normal,183000
19,20,RL,101,19340,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,5,1986,1986,Gable,CompShg,Plywood,HdBoard,BrkFace,228,Gd,Gd,CBlock,Gd,Gd,Av,GLQ,990,Rec,80,310,1380,GasA,Ex,Y,SBrkr,1410,0,0,1410,0,0,2,0,3,1,Gd,6,Typ,1,Fa,Attchd,1986,Unf,2,578,TA,TA,Y,282,0,0,0,0,0,,,,0,3,2008,WD ,Normal,210000
20,80,RL,,13550,Pave,,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,5,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PConc,Gd,TA,Gd,GLQ,1620,Unf,0,0,1620,GasA,Gd,Y,SBrkr,1830,0,0,1830,1,1,2,0,2,1,Gd,5,Typ,1,TA,Attchd,1989,Fin,2,569,TA,TA,Y,80,0,0,0,396,0,,,,0,8,2009,WD ,Normal,311000
21,20,RL,84,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1974,1974,Hip,CompShg,Plywood,Plywood,BrkFace,440,TA,TA,CBlock,TA,TA,No,LwQ,910,Unf,0,640,1550,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1974,RFn,2,528,TA,TA,Y,80,21,0,0,0,0,,,,0,6,2009,WD ,Normal,185000
22,20,RL,,12970,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,180,TA,TA,CBlock,Gd,TA,Mn,ALQ,850,Unf,0,110,960,GasA,Ex,Y,SBrkr,1320,0,0,1320,1,0,1,0,3,1,TA,5,Typ,0,,Attchd,1978,Unf,2,528,TA,TA,Y,211,0,280,0,0,0,,,,0,5,2008,WD ,Normal,186000
23,50,RL,87,13240,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,6,7,1940,1985,Gable,CompShg,VinylSd,VinylSd,,0,TA,TA,CBlock,Gd,TA,Mn,ALQ,720,Unf,0,360,1080,GasA,Ex,Y,SBrkr,1120,890,0,2010,1,0,2,0,4,1,TA,7,Mod,0,,Attchd,1989,Unf,1,423,TA,TA,Y,245,0,156,0,0,0,,,Shed,1300,7,2008,WD ,Normal,189000
24,20,FV,82,8470,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,,0,Gd,TA,PConc,Gd,TA,No,GLQ,900,Unf,0,720,1620,GasA,Ex,Y,SBrkr,1660,0,0,1660,1,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002,RFn,2,596,TA,TA,Y,277,137,0,0,0,0,,,,0,4,2010,WD ,Normal,263000
25,50,RL,97,25330,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,1.5Fin,6,5,1984,1984,Gable,CompShg,Wd Sdng,Wd Sdng,,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,1190,1190,GasA,Ex,Y,SBrkr,1250,830,0,2080,0,0,2,0,4,1,Gd,7,Min2,1,Po,Attchd,1984,Unf,2,515,TA,TA,P,0,195,1012,0,0,444,TA,,,0,4,2007,WD ,Normal,262000
26,30,RM,80,8580,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,6,1948,1973,Gable,CompShg,VinylSd,VinylSd,,0,TA,TA,BrkTil,TA,TA,No,Rec,380,Unf,0,1310,1690,GasA,Gd,Y,SBrkr,1730,0,0,1730,1,0,1,0,2,1,TA,5,Min2,0,,Detchd,1948,Unf,2,812,TA,TA,Y,0,116,230,0,0,0,,GdWo,,0,6,2007,COD,Normal,182000
27,70,RM,51,10160,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,9,1900,2003,Gable,CompShg,Wd Sdng,Wd Sdng,,0,Gd,Gd,BrkTil,TA,TA,No,Unf,0,Unf,0,1000,1000,GasW,TA,N,SBrkr,1060,750,0,1810,0,0,2,0,3,1,Gd,7,Typ,0,,Detchd,1930,Unf,1,288,TA,TA,Y,54,228,246,0,0,0,,,,0,4,2010,WD ,Abnorml,178000
28,20,RL,101,12740,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Hip,CompShg,VinylSd,VinylSd,BrkFace,254,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1810,1810,GasA,Ex,Y,SBrkr,1880,0,0,1880,0,0,2,0,3,1,Gd,7,Typ,0,,Attchd,2007,Fin,3,818,TA,TA,Y,168,228,0,0,0,0,,,,0,12,2007,New,Partial,357000
29,60,RL,,12950,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,6,7,1977,1995,Gable,CompShg,HdBoard,HdBoard,BrkFace,424,TA,Gd,CBlock,Gd,Gd,No,ALQ,970,Unf,0,480,1450,GasA,TA,Y,SBrkr,1720,1490,0,3210,1,0,2,1,4,1,TA,11,Typ,1,TA,Attchd,1977,Fin,2,619,TA,TA,Y,550,282,0,0,0,0,,,,0,7,2008,WD ,Normal,308000
30,60,RL,,16830,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,Gilbert,RRNn,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,BrkFace,210,Gd,TA,PConc,Gd,TA,No,ALQ,980,Unf,0,300,1280,GasA,Ex,Y,SBrkr,1380,1230,0,2610,1,0,2,1,4,1,Gd,8,Typ,1,TA,BuiltIn,1999,Fin,3,658,TA,TA,Y,298,0,0,0,0,0,,,,0,5,2009,WD ,Normal,279000
31,50,RL,55,8540,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,6,7,1948,1994,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,LwQ,150,Unf,0,810,960,GasA,TA,Y,SBrkr,1210,0,530,1740,0,0,1,0,3,1,TA,6,Typ,0,,Detchd,1994,Unf,2,576,TA,TA,Y,180,36,0,0,0,0,,,,0,8,2009,COD,Abnorml,162000
32,60,RL,,12480,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,8,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,188,Gd,TA,PConc,Gd,TA,Gd,GLQ,920,Unf,0,190,1110,GasA,Ex,Y,SBrkr,1150,1430,0,2580,0,0,2,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2003,Fin,3,632,TA,TA,Y,120,46,0,0,0,0,,,,0,8,2009,WD ,Normal,306000
33,60,RL,51,24670,Pave,,IR3,Lvl,AllPub,CulDSac,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,20,Gd,TA,PConc,Ex,TA,Av,GLQ,1320,Unf,0,310,1630,GasA,Ex,Y,SBrkr,1680,1150,0,2830,1,0,2,1,5,1,Ex,10,Typ,1,Gd,BuiltIn,2007,Fin,3,640,TA,TA,Y,192,273,0,0,0,0,,,,0,6,2009,WD ,Family,455000
34,70,RM,52,2650,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,8,1915,2005,Gable,CompShg,Stucco,Stucco,,0,Gd,TA,PConc,TA,TA,No,ALQ,340,Unf,0,670,1010,GasA,Ex,Y,SBrkr,1050,1040,0,2090,1,0,1,1,4,1,Ex,7,Min2,1,Gd,Attchd,1915,Unf,1,164,Fa,Fa,Y,0,0,0,0,0,0,,,,0,6,2009,WD ,Normal,183000
35,120,RL,51,7810,Pave,,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,8,5,1998,1998,Gable,CompShg,CemntBd,CmentBd,,0,TA,TA,PConc,Gd,TA,Av,GLQ,380,Unf,0,1160,1540,GasA,Ex,Y,SBrkr,1650,0,0,1650,1,0,2,0,2,1,TA,5,Typ,0,,Attchd,1998,Fin,2,495,TA,TA,Y,168,43,0,0,0,0,,,,0,7,2009,WD ,Normal,274000
36,20,RL,69,10160,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1961,1990,Gable,CompShg,WdShing,Wd Shng,,0,TA,TA,CBlock,TA,TA,Mn,BLQ,990,Unf,0,370,1360,GasA,TA,Y,SBrkr,1600,0,0,1600,1,0,1,0,3,1,TA,7,Min1,1,Gd,Attchd,1961,Unf,2,441,TA,TA,Y,144,0,205,0,0,0,,,,0,6,2006,WD ,Normal,190000
37,50,RL,,12810,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,6,1953,2004,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,Fa,No,LwQ,230,Unf,0,1100,1330,GasA,Ex,Y,SBrkr,1370,0,620,1990,1,0,1,0,3,1,TA,7,Typ,1,Gd,Attchd,1953,Unf,1,371,TA,TA,Y,200,0,0,0,0,0,,GdWo,,0,6,2007,WD ,Normal,184000
38,20,RL,111,16160,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,470,Gd,TA,PConc,Ex,TA,Gd,GLQ,1660,Unf,0,700,2360,GasA,Ex,Y,SBrkr,2420,0,0,2420,1,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2003,Fin,3,685,TA,TA,Y,208,55,0,0,0,0,,,,0,7,2009,WD ,Normal,426000
39,20,RL,87,10630,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Feedr,Norm,1Fam,1Story,8,5,2006,2007,Hip,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Ex,TA,No,GLQ,720,Unf,0,860,1580,GasA,Ex,Y,SBrkr,1630,0,0,1630,0,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2006,Fin,2,480,TA,TA,Y,0,20,0,0,0,0,,,,0,8,2008,WD ,Normal,281000
40,50,RL,,14450,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,5,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,,0,Gd,Gd,CBlock,TA,TA,No,ALQ,80,BLQ,490,610,1180,GasA,Ex,Y,SBrkr,1410,780,0,2190,1,0,2,0,4,1,Gd,8,Typ,1,Gd,Attchd,1958,Unf,2,451,TA,TA,Y,0,0,0,0,0,0,,,,0,7,2006,WD ,Normal,202000
41,90,RL,90,26470,Pave,,Reg,Low,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,4,1967,1967,Gable,CompShg,HdBoard,Plywood,,0,TA,TA,CBlock,TA,TA,Av,Unf,0,Unf,0,1740,1740,GasA,TA,Y,SBrkr,1810,0,0,1810,0,0,2,0,4,2,TA,8,Typ,0,,Attchd,1967,Unf,2,576,TA,TA,P,0,0,0,0,0,0,,,,0,6,2007,WD ,Normal,170000
42,190,RM,72,9680,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,2Story,6,8,1910,1950,Gable,CompShg,AsbShng,AsbShng,,0,TA,Fa,Stone,Fa,TA,No,Unf,0,Unf,0,1100,1100,GasA,Gd,N,FuseP,1040,1160,0,2200,0,0,2,0,4,2,Fa,9,Typ,0,,Detchd,1910,Unf,1,440,Po,Po,Y,0,60,112,0,0,0,,,,0,4,2006,WD ,Normal,164000
43,50,RL,51,8900,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,8,1900,1950,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,BrkTil,TA,Gd,No,Rec,270,BLQ,430,260,960,GasA,Ex,Y,SBrkr,1100,500,0,1600,1,0,1,0,4,1,TA,7,Typ,0,,Detchd,1978,Unf,1,384,TA,TA,Y,0,130,112,0,0,0,,MnPrv,,0,4,2008,WD ,Normal,145000
44,60,RL,84,12390,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,6,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,,0,TA,TA,CBlock,TA,TA,No,Rec,330,Unf,0,470,800,GasA,Ex,Y,SBrkr,950,850,0,1800,0,0,1,1,4,1,TA,8,Typ,0,,Attchd,1968,Unf,2,441,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2009,WD ,Normal,182000
45,20,FV,84,8460,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2008,2009,Gable,CompShg,VinylSd,VinylSd,,,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1540,1540,GasA,Ex,Y,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Gd,6,Typ,0,,Attchd,2008,Fin,2,529,TA,TA,Y,0,121,0,0,0,0,,,,0,10,2009,New,Partial,258000
46,20,RL,88,14450,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Gable,CompShg,Plywood,Plywood,BrkFace,1115,TA,Gd,CBlock,Gd,TA,Gd,ALQ,2010,Unf,0,380,2390,GasA,Ex,Y,SBrkr,2440,0,0,2440,1,0,2,0,3,1,TA,8,Typ,2,Gd,Attchd,1973,Fin,2,516,TA,TA,Y,300,0,0,0,0,0,,,,0,2,2007,WD ,Normal,278000
47,160,RM,14,2180,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1973,1973,Gable,CompShg,HdBoard,HdBoard,BrkFace,265,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,730,730,GasA,Ex,Y,SBrkr,790,650,0,1440,0,0,1,1,4,1,Ex,7,Typ,0,,Detchd,1973,Unf,1,264,TA,TA,Y,0,28,0,0,0,0,,,,0,12,2007,WD ,Normal,139000
48,30,RM,63,7620,Pave,,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,8,1940,1950,Gable,CompShg,VinylSd,VinylSd,Stone,279,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,0,870,870,GasA,Ex,Y,SBrkr,1210,0,0,1210,0,0,1,0,2,1,TA,5,Typ,2,Gd,Detchd,1940,Unf,2,379,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2007,WD ,Normal,157000
49,20,RL,74,11430,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,BrkFace,203,TA,TA,CBlock,TA,TA,No,BLQ,670,Rec,300,200,1170,GasA,TA,Y,SBrkr,1190,0,0,1190,1,0,1,0,3,1,TA,6,Typ,0,,Attchd,1963,Fin,1,311,TA,TA,Y,0,133,0,0,0,0,,,,0,2,2007,COD,Normal,153000
50,20,RL,43,5820,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,7,5,2004,2004,Shed,CompShg,VinylSd,VinylSd,,0,TA,TA,PConc,Gd,Gd,Mn,GLQ,560,LwQ,410,220,1190,GasA,Ex,Y,SBrkr,1220,0,0,1220,1,0,2,0,2,1,TA,4,Typ,0,,Detchd,2004,Unf,1,246,TA,TA,Y,0,120,0,0,0,0,,,,0,5,2006,WD ,Normal,185000
51,20,RL,95,10760,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450,Ex,TA,PConc,Ex,TA,Av,GLQ,1760,Unf,0,320,2080,GasA,Ex,Y,SBrkr,2140,0,0,2140,1,0,2,1,3,1,Ex,8,Typ,1,Gd,Attchd,2010,Fin,3,606,TA,TA,Y,168,95,0,0,0,0,,,,0,4,2010,New,Partial,439000
